[2026-02-20 01:29:13.076030800 -05:00] Public subs not fully confirmed after 5 polls (ohlc: true, ticker: false)
[2026-02-20 03:20:13.072725200 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=1017996057.15236
[2026-02-20 03:20:17.200786800 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=1019111451.15236
[2026-02-20 03:20:17.800753900 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=1020226845.15236
[2026-02-20 03:20:18.417171300 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=1021342239.15236
[2026-02-20 03:20:20.531307700 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=1115160170.88336
[2026-02-20 03:20:20.701577400 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=1117166688.93631
[2026-02-20 03:20:26.617201400 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=1213870252.41731
[2026-02-20 03:20:28.257448300 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=1215221926.72026
[2026-02-20 03:20:30.264629500 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=1311925490.20126
[2026-02-20 03:20:36.795514200 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=1313277164.50421
[2026-02-20 03:20:45.610289300 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=1405029069.52821
[2026-02-20 03:20:47.349186300 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=1470399228.05084
[2026-02-20 03:20:47.456629200 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=1471990728.05084
[2026-02-20 03:21:30.049488500 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=11455804
